company_name,cage,email,phone,contact_name,linkID
AUSTIN HARDWARE,008231,,614-228-5781,Brian Wider,008231
BEDFORD PRECISION PARTS,008239,,8613716599952,ROGER RAPIN or CON.BUGDEN,008239
AIR-WAY MANUFACTURING,008245,info@empirefoam.com,734-606-5100,David Rioch,008245
SHIM-IT CORP,008247,marks@washburngarfield.com,814-228-3417,David A. DeLuca,008247
SEMTEX INDUSTRIAL CORPORATION,008250,,757-622-4706, ,008250
BARRY INDUSTRIES,008251,,800-265-8772,SALES,008251
BLUE WAVE ULTRASONICS,008252,scottm@anchoraudio.com,315-622-1800,Norma Redmond,008252
NATEL ENGINEERING COMPANY,008253,addie.roll@crown.com,847-427-8340,Donna Taylor,008253
DUFFY'S EQUIPMENT,008254,info@boaterbarn.com,434-970-7878,SALES,008254
BERKSHIRE TRANSFORMER,008258,,816-537-6777,CUSTOMER SERVICE,008258
BARNES ENGINEERING COMPANY,008263,,231-577-5066,Bill Snyder/SALES,008263
PROPONENT USE #111915,008264,jessica@relectric.com,302-325-9880,Gladys Scott,008264
CRAIG SYSTEMS CORP.,008266,,360.548.3182 DIR,"Krissy Healy, Mgr.",008266
CEN ELECTRONICS,008268,,630-844-1999,MARY AKERS,008268
MINI-CIRCUITS,008269,cs@toolsdirect.com,713-590-5542,Sales,008269
OPT INDUSTRIES INC.,008270,,716-685-9585,CAROL-SUE,008270
M. FARRIS & ASSOCIATES,008273,,0114970839248281,HAROLD BAUER,008273
"ITT INDUSTRIES, INC.",008274,,714-778-1900,JEFF HOLLISTER,008274
SODERBERG MANUFACTURING,008275,AR@TROOPINDUSTRIAL.COM,310-537-2300,Michael Brestol,008275
ALCATEL NETWORK SYSTEMS,008277,,716-667-9090,Robyn O'Leary ,008277
GAS EQUIPMENT ENG. CORP.,008279,sales@aerospacealliance.net,818-786-0300,Dave Gillespie,008279
WESCO AIRCRAFT HARDWARE CORP.,008280,SHARONS@HAYDENCORP.COM,321-926-3115,CINDY WIRTH,008280
GENERAL REGULATOR CORPORATION,008282,HELLO@SHARKCRATES.COM,717-652-5430,Tracy Steinhouse ,008282
ARTISAN ELECTRONICS CORP.,008291,,315-423-7702,Mike Duffy,008291
ASSOCIATED AIRCRAFT SUPPLY,008292,bkaerospace@yahoo.com,800-497-4543,JUDE MASTERS,008292
THE CLAREMONT SALES CORPORATIO,008293,,541-902-0143,Sales,008293
"VIASAT, INC.",008294,s.green@distributionintl.com,585-899-3920,MATT MCCORMICK,008294
CONNECTOR INDUSTRIES,008297,,734-737-5655,SARAH,008297
BARCAR MFG.,008299,burnsd@aproducts.com,212-639-8900,BILL LYCETT,008299
ENGINEERED PRODUCTS CO.,008301,,734-384-4375,DAN ALBERTI,008301
ANAREN MICROWAVE INC,008304,,800-642-4272,Sales,008304
KEROTEST MFG. CO.,008305,springsales@asraymond.com,757-558-3625,Dennis Regan,008305
"FABRICATION SPECIALITY, INC.",008308,simonrayner@pumpsandgearboxes.co.uk ,276-783-4582,Donna,008308
INDUSTRIAL ELECTRONIC ENGINEER,008309,,440-255-2888,,008309
E-Z HOOK,008310,,620-767-7846,Myron / Parts  x 104,008310
GROBET FILE COMPANY,008311,,888-749-5042,GLORIA ALBRIGHT,008311
"ABB INSTRUMENTATION, INC",008312,,909-734-0070,JOHN PAUL,008312
BLACK BOX CORP.,008313,connectorsplus@comcast.net ,800-321-1874,JUSTIN EVANS,008313
THE ROBERT GROUP,008314,,860-524-7811,Paula,008314
"V M PRODUCTS, INC.",008315,sales@american-filter.com,303-871-9400,REID BELL,008315
"FACET USA, INC.",008318,,800-423-5190,Esther Alvarado,008318
AMERICAN RELAYS INC,008319,,951-639-1034,Meagan Ward,008319
REGIONAL DEFENSE SERVICES LLC,008321,Cannew@msn.com,219-229-6142,MARK PETERS,008321
"ROCKWELL COLLINS, INC.",008328,totten@drs.com,815-865-5711,SYNDI,008328
AEROSPACE SPECIALTIES,008332,,716-896-2811,CUSTOMER SERVICE,008332
AMERICAN RING & TOOL,008338,hoseramps@gmail.com,800-421-6815,MARY SOCHA,008338
SPIROL INTERNATIONAL,008350,alexandra.hammond@warfighterfocusedlogistics.com,909.599.5955,GREG,008350
"UNI-GRIP, INC.",008357,geandyking@gmail.com,455-7434,SALES,008357
BENDON GEAR & MACHINE,008360,,716-832-3300,CUSTOMER SERVICE,008360
HYDRIL USA DISTRIBUTIONS LLC,008367,garthur@tecoinc.com / garthur@rumsey.com,585-872-1043,Brandy Ingersoll,008367
ANIXTER PENTACON,008368,,736-6641,ROBERT,008368
MACK BORING COMPANY,008372,khealy@pcconnection.com,248-476-5100,Mike Wolf,008372
FLEXCO INC.,008373,,800-765-7242,TIM MURPHY,008373
AUTODYNE MFG.CO.INC.,008383,,888-265-5467,Ronald Tessmer,008383
SIERRA PRECISION,008384,,422-0464,Pat Davis,008384
FRANK LANGLEY SALES,008385,,201-668-0590,COBY JORDEN,008385
ALLIED SYSTEMS COMPANY,008389,jwalotka@galowmetal.com ,800-554-8466,,008389
"FDH Electronics, LLC",008391,laramy@together.net,413-525-3977,Jewell,008391
"J B ELECTRONIC TRANSFORMERS,",008392,,818-896-6414,TROY JONES,008392
APEX MICROTECHNOLOGY CORP.,008395,jbtoolsales@gmail.com,203-261-6711,Danyelle J. Evans,008395
MOLEX CONNECTOR CORPORATION,008398,info@ikohe.com,412-682-4554,SCOTT HULL,008398
"C & S ANTENNAS, INC.",008401,daryl.daniels@pelican.com,800-626-6622,,008401
REACTEL INC.,008402,,251-368-7777,,008402
U S TERMINALS INC,008403,,336-751-3561,Jeff Greenblatt,008403
MOLEX CONNECTOR CORPORATION,008410,bhaltzman@mathesongas.com,011390813121301,Kevin Palm,008410
CALIFORNIA EASTERN,008411,,210-673-8422,Stacey Neff,008411
SYRACUSE BLUEPRINT CO.,008418,,800-952-1457,MIKE WILLIAMS,008418
AIR INSTRO INC,008431,,800-283-7674,SHARON,008431
MIRAJ CORPORATION,008438,dmc@ascindustries.com,860-678-4034,DAUD SHAHABI,008438
MARTISCO CORPORATION,008439,davidddozier@yahoo.com,315-741-6607,Don Thrasher,008439
THE TITUS COMPANY,008442,ORDERS@HOLMATRO.COM,856-303-1101,Jean Moore,008442
BOYER TRUCK PARTS,008446,ahoffmann@formrite.com,818-727-7800,SALES,008446
"J&M SCHAEFER, INC.",008449,billy@stock-number.com,800-227-7652,Mark,008449
"CASTERS,WHEELS & INDUSTRIAL",008455,,800-225-7800,KEVIN COOPER,008455
RONCO,008456,,866-438-4553,Gary D Bergeron X-185,008456
MAGNA MACHINE CO.,008460,,877-244-8166,CHRIS,008460
"C&D TECHNOLOGIES, INC.",008463,,716-665-5217,REBA FARTHING,008463
CONCURRENT COMPUTER CORP,008465,,305-592-0593,Bill,008465
"HENRY TROEMNER, LLC",008466,,631-582-8249,WENDY,008466
"DILLON CO.,DIV.OF WEIGH-TRONIX",008469,,1-888-520-9090,PAUL DAVIE,008469
HOLT BROTHERS,008470,,985-868-0630,"Heather Howard, AR",008470
"WESTBERG MFG., INC.",008471,*** DO NOT USE ***,814-453-5611,Bernie Thomas,008471
PREMIER METAL PRODUCTS,008472,,412-881-5140,HEATHER THOMPSON,008472
"HYDRAULICS INTERNATIONAL, INC.",008473,michelle.rodgers@dbsantasalo.com,781-344-4464,JASON,008473
ESSEX CRYOGENICS,008474,mike@mpxllc.com,800-806-6580,MIKE,008474
DIRECT MACHINERY,008478,carsten_conrad@beaerospace-systems.com,800-326-5135,STANLEY DEEKE,008478
UNITED DRILL BUSHING,008480,,607-733-9115,Rex Casanover,008480
ERIE ENGINEERED PRODUCTS,008481,lstout@cpsohio.com,925-416-1000,KEN LABAK,008481
"HDL RESEARCH LAB, INC.",008483,,607-732-2909,VERONICA ,008483
CURTIS INDUSTRIES,008484,,909-351-0770,PATRICIA BILLINGSLEY,008484
DYNISCO MEASUREMENT,008486,adam@servapure.com,800-221-3298,Janet,008486
"TECH-GRAPHIC, INC.",008488,,704-399-3102,Kelly Savage,008488
"FLODRAULIC GROUP, INC.",008492,millie.edwards@aquestia.com,800-322-5003,Paul W.,008492
AMERICAN PRECISION IND. API,008496,,800-492-3344,HERB RAY,008496
MICROSEMI CORPORATION,008497,,508-995-5171,DANAHER MOTION ASST CTR,008497
VIKING ELECTRONICS INC.,008498,,800-763-4795,CUSTOMER SERVICE,008498
"MAGNETIKA, INC.    ",008500,mpaiz@wamcoinc.com,800-668-4842,DANIELLE JONES,008500
AMERICAN METAL BEARING,008504,jderosa@geminielec.com,224-678-9388,BRIAN COLLINS,008504
AUDIOSEARS CORP.,008505,taraanderson@moldeddevices.com,305-599-2500,SALES,008505
MATHESON TRI-GAS INC,008507,custsvc@pinnacletextile.com,519-822-8913,PATTY GUINN,008507
PHELPS INDUSTRIAL,008517,PRODUCTSUPPORT@BATTERIESPLUS.COM,215-675-4645,Bill Kelly,008517
GLEASON CORPORATION,008522,,713-584-0539,Joyce Horn,008522
DANTE VALVE,008523,,905-516-1472,Grant Simard,008523
MICRO QUALITY SEMICONDUCTOR ,008529,,461-4300,CLIFF MCBRIDE,008529
SPIRIG ADVANCED TECHNOLOGIES,008531,,201-641-7600,Elliott Silverman,008531
"GIGA, INC.",008532,,888-671-2883,Michael Evers,008532
BELMOR MANUFACTURING,008533,,508-884-9732,SALES,008533
"QUADTECH, INC.",008534,,203-248-8863,Matt,008534
ELECTRONIC MOLDING CORPORATION,008537,,305-235-5401,Michael G Paulina Jr,008537
ELECTRO-FREETO MFG COMPANY,008539,,850-488-6800,TRACY SCHMITT,008539
DIHARD COMPANY,008541,,507-205-9216,Rich Farrar,008541
DICTAPHONE CORPORATION,008545,,330-684-4052,MATT FAJT,008545
VICKERS-WARNICK,008547,,800-631-0168,Dick Keehn,008547
PDI GROUND SUPPORT SYSTEMS INC,008549,,334-649-8287,Mary DeCicco,008549
SOLAR TURBINES INC.,008550,,315-475-0844,Cameron Klein,008550
ESC TECHNOLOGIES INC,008551,,204-694-2191,,008551
DEL AEROSPACE,008552,,800-527-5787,WADE SPICER,008552
JENKINS SUPPLY COMPANY,008554,liverpoolny@embroidme.com,702-871-9227,SALES,008554
WEST AMERICAN RUBBER CO INC,008555,JonR@VULCANSPRING.com,800-231-2501,Gary Foster,008555
"BETA ENGINEERING, INC.",008560,watson@frontiernet.net,253-735-6000,JESSICA MCNAMARA,008560
COMPAC ENGINEERING INC,008567,,800-635-8467,Donnie or Jimmy apple,008567
FRINK AMERICA,008568,,516-765-1460,Tim DeLaere,008568
SPI SPECIALTY PRODUCTS & INSUL,008572,dave@valvetechsales.com,574-264-5575,Kevin Johnson,008572
NY TECH SUPPLY,008580,diane.konkol@mychesapeakeoffice.com,804-458-8200,ADRIENNE BARNES,008580
"VIKING PRODUCTS, INC",008584,,305-395-6316,Charlie Green,008584
NORTHEAST SALES ASSOC.,008590,,937-832-1775,Chris Barth,008590
"A AND A MFG. CO., INC.",008592,,407-514-1511,DONNA WARDZALA,008592
AUBURN ENGINEERED PROD.,008593,,317-362-0701,"Cy Henry/ColleenAdee,OpsD",008593
"OTR WHEEL ENFGINEERING, INC.",008595,,800-766-5154,DON HOUSE,008595
JKL COMPONENTS CORPORATION,008596,,800-552-0632,R.J.Harris,008596
REIKER INSTRUMENT CO.,008597,,603-324-4544,Barbara Albrecht x 122,008597
AYDIN TELEMETRY,008599,,973-575-4742,JOAN / SALES,008599
MEGATOR CORPORATION,008600,,925-454-9500,Will Schafer,008600
"BEAU TECH, INC.",008601,,901-853-3580,Sean Sinclair,008601
ADALET DIVISION,008602,sales@hudsonsupply.com,804-758-9150,,008602
E/M CORPORATION,008603,,800-432-8542,Fred Schaefer,008603
"ROSEMOUNT ANALYTICAL,INC",008604,sales@pvcpipesupplies.com,810-757-4100,MITZI SULLIVAN,008604
CABLETRON SYSTEMS,008605,,810-757-7676,RON PAZERA,008605
TIMES MICROWAVE SYSTEMS,008606,,866-925-6621,Michael J. Wilson ,008606
ADVANCED INTERCONNECTION,008607,,512-339-0504,KRISTINE LANDERS,008607
INSINGER MACHINE COMPANY,008608,kevinv@havilandusa.com,716-674-0500,Rob Winterburn,008608
RAYTHEON ELECTRONIC SYSTEMS,008609,,800-521-7918,Government Sales,008609
"PAPAILIAS, INC.",008610,,518-348-2562,Kim Dillon,008610
HUBBELL ELECTRIC HEATER,008612,,718-849-9000,Sales Department,008612
FRC-ELECTRICAL INDUS.,008613,,817-649-7056,ALAN WOOLFOLK,008613
NEILL AIRCRAFT CO.,008614,Portsha.Smith@estes-express.com,540-720-8400,Matt ,008614
"TRANSICO INC., ECCO SWITCH DIV",008617,,507-455-7100,Andrea Williams,008617
BOLLINGER SHIPYARDS-CHAND,008622,qnpinc@gmail.com,011448000407797,DEBBIE,008622
AEROSPACE PRODUCTS CO.,008623,will.stoddard@titan-intl.com,716-549-0135,SALES,008623
MCLI,008628,,952-473-7115,DOUG SZARO,008628
SYMBOLIC DISPLAYS INC,008629,,518-258-2268,Bill Faherty,008629
"EMERSON SWAN, INC.",008630,vmcnevin@jamaicabearings.com,301-228-3525,John Carreiro,008630
EQUIPTO ELECTRONICS CORP.,008634,labs.ar@industrial-ia.com,732-512-9141,JANICE WALTON,008634
ROYAL ENGINEERED COMPOSTIES,008637,,949-553-1003,Greg Carlson,008637
"LUMINESCENT SYSTEMS, INC",008640,hypermax@earlbeck.com,908-685-1585,Richard Steninger,008640
"H.A. GUDEN CO.,INC.",008643,sales@fplco.com,602-437-0551,Russell Bloch,008643
WABTEC TRANS TECH/WABCO,008644,NGORKA@KOVATCH.COM,315-455-2481,CODY ADKINS,008644
MIN-E-CON,008657,sales@sealandpower.com,877-376-2533,Dave Coble,008657
S A S INDUSTRIES INC,008658,,305-594-7338,DIANNE RUTHERFORD,008658
ROSEMOUNT AEROSPACE INC,008671,,260 238 4442,CSR@atsfurniture.com,008671
N A K ENGINEERING INC.,008674,,704 554-6121,Ming Gang Guo,008674
"ACCESSORIES FOR ELECTRONICS,",008675,,607-257-0007,CUSTOMER SERVICE,008675
MAGNESPEC INC.,008676,,832-399-1032,MARK FIOCCO,008676
SHALLCROSS DIV./IRC,008678,,847-368-9000,PRODESK,008678
"UEMC, INC.    ",008680,,608-297-8500,LISA NASH,008680
GASKET MANUFACTURING COMPANY,008681,sales@krjohnson.com,888-648-4452,MARIA,008681
SMS TECHNOLOGIES COMPANY,008682,,914-478-4300,DOUGLAS C. RELYEA,008682
GENERAL DYNAMICS AEROSPACE,008683,,800-821-0019,MATT,008683
